#Scan:    100            N1530 2021-09-20 +07 35 52.0
#          RADIO                  Ta    
#        km/s-BAR                 I
    3241.4138703744715713      0.0326444
    3244.4329447074251220      0.0234526
    3247.4520190403454762      0.0442740
    3250.4710933732330886      0.0307137
    3253.4901677061870942      0.0315739
    3256.5092420391406449      0.0270267
    3259.5283163720614539      0.0231422
    3262.5473907050154594      0.0261033
    3265.5664650379358136      0.0349485
    3268.5855393708898191      0.0393629
    3271.6046137037769768      0.0305014
    3274.6236880367309823      0.0330737
    3277.6427623696517912      0.0256217
    3280.6618367026057967      0.0358278
    3283.6809110355261510      0.0354309
    3286.6999853684801565      0.0472433
    3289.7190597013673141      0.0535352
    3292.7381340342881231      0.0435522
    3295.7572083672421286      0.0313411
    3298.7762827001961341      0.0085812
    3301.7953570331164883      0.0172594
    3304.8144313660700391      0.0242398
    3307.8335056989908480      0.0269157
    3310.8525800318784604      0.0376454
    3313.8716543648320112      0.0317299
    3316.8907286977523654      0.0322315
    3319.9098030307063709      0.0403599
    3322.9288773636603764      0.0366109
    3325.9479516965811854      0.0403419
    3328.9670260294683430      0.0308436
    3331.9861003624223486      0.0392677
    3335.0051746953427028      0.0302948
    3338.0242490282967083      0.0398420
    3341.0433233612507138      0.0291667
    3344.0623976941715227      0.0309409
    3347.0814720271255283      0.0258824
    3350.1005463600126859      0.0340878
    3353.1196206929330401      0.0370547
    3356.1386950258870456      0.0356083
    3359.1577693588078546      0.0332769
    3362.1768436917614054      0.0417793
    3365.1959180247154109      0.0393951
    3368.2149923576357651      0.0263847
    3371.2340666905233775      0.0299590
    3374.2531410234769282      0.0359174
    3377.2722153563977372      0.0262713
    3380.2912896893517427      0.0287709
    3383.3103640223057482      0.0427647
    3386.3294383552261024      0.0366684
    3389.3485126881132601      0.0282143
    3392.3675870210672656      0.0258571
    3395.3866613539880746      0.0242778
    3398.4057356869420801      0.0315601
    3401.4248100198624343      0.0251166
    3404.4438843528164398      0.0184117
    3407.4629586857699906      0.0194125
    3410.4820330186576030      0.0210566
    3413.5011073515784119      0.0242470
    3416.5201816845324174      0.0299456
    3419.5392560174527716      0.0399376
    3422.5583303504063224      0.0404078
    3425.5774046833271314      0.0310333
    3428.5964790162474856      0.0332258
    3431.6155533491682945      0.0258502
    3434.6346276821223000      0.0415785
    3437.6537020150426542      0.0271942
    3440.6727763479966598      0.0366463
    3443.6918506809174687      0.0361663
    3446.7109250138714742      0.0285555
    3449.7299993467586319      0.0294176
    3452.7490736797126374      0.0393739
    3455.7681480126329916      0.0314422
    3458.7872223455869971      0.0174636
    3461.8062966785078061      0.0214270
    3464.8253710114618116      0.0323207
    3467.8444453443489692      0.0165114
    3470.8635196772697782      0.0226348
    3473.8825940102237837      0.0299929
    3476.9016683431773345      0.0456541
    3479.9207426760976887      0.0298173
    3482.9398170090516942      0.0355061
    3485.9588913419725031      0.0182241
    3488.9779656748601155      0.0311631
    3491.9970400078136663      0.0230010
    3495.0161143407676718      0.0208225
    3498.0351886736880260      0.0373467
    3501.0542630066420315      0.0285385
    3504.0733373395628405      0.0388780
    3507.0924116725168460      0.0414578
    3510.1114860054040037      0.0440675
    3513.1305603383243579      0.0437620
    3516.1496346712783634      0.0349497
    3519.1687090042323689      0.0362039
    3522.1877833371531779      0.0363821
    3525.2068576701067286      0.0248754
    3528.2259320029943410      0.0316460
    3531.2450063359146952      0.0357271
    3534.2640806688687007      0.0475365
    3537.2831550018222515      0.0263198
    3540.3022293347430605      0.0402080
    3543.3213036676970660      0.0337271
    3546.3403780006174202      0.0343584
    3549.3594523335045778      0.0201974
    3552.3785266664585833      0.0341895
    3555.3976009993793923      0.0348138
    3558.4166753323333978      0.0312076
    3561.4357496652874033      0.0344725
    3564.4548239982077575      0.0467354
    3567.4738983310949152      0.0346934
    3570.4929726640489207      0.0410113
    3573.5120469969697297      0.0252020
    3576.5311213299237352      0.0298978
    3579.5501956628440894      0.0307551
    3582.5692699957980949      0.0470265
    3585.5883443287516457      0.0360122
    3588.6074186616392581      0.0456042
    3591.6264929945600670      0.0346305
    3594.6455673275136178      0.0427030
    3597.6646416604339720      0.0462426
    3600.6837159933879775      0.0303467
